tx_timestamp_ms,distance,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,latitude,longitude,altitude,flags_raw,gnss_alt
329380,0.00,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,43.243064,-0.040743,0.00,1,434.70
329380,0.00,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,43.243064,-0.040743,0.00,1,434.70
329380,0.00,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,43.243064,-0.040743,0.00,1,434.70
329380,0.00,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,43.243064,-0.040743,0.00,1,434.70
329380,0.00,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,43.243064,-0.040743,0.00,1,434.70
329393,0.00,-2.7,-41.5,304.6,0.8276,0.3019,0.1876,0.4342,-0.00,-0.07,-0.12,43.243064,-0.040743,0.00,1,434.70
329393,0.00,-2.7,-41.5,304.6,0.8276,0.3019,0.1876,0.4342,-0.00,-0.07,-0.12,43.243064,-0.040743,0.00,1,434.70
329393,0.00,-2.7,-41.5,304.6,0.8276,0.3019,0.1876,0.4342,-0.00,-0.07,-0.12,43.243064,-0.040743,0.00,1,434.70
329393,0.00,-2.7,-41.5,304.6,0.8276,0.3019,0.1876,0.4342,-0.00,-0.07,-0.12,43.243064,-0.040743,0.00,1,434.70
329393,0.00,-2.7,-41.5,304.6,0.8276,0.3019,0.1876,0.4342,-0.00,-0.07,-0.12,43.243064,-0.040743,0.00,1,434.70
329406,0.00,-2.7,-41.5,304.5,0.8276,0.3018,0.1875,0.4343,0.00,-0.12,-0.09,43.243064,-0.040743,0.00,1,434.70
329406,0.00,-2.7,-41.5,304.5,0.8276,0.3018,0.1875,0.4343,0.00,-0.12,-0.09,43.243064,-0.040743,0.00,1,434.70
329406,0.00,-2.7,-41.5,304.5,0.8276,0.3018,0.1875,0.4343,0.00,-0.12,-0.09,43.243064,-0.040743,0.00,1,434.70
329406,0.00,-2.7,-41.5,304.5,0.8276,0.3018,0.1875,0.4343,0.00,-0.12,-0.09,43.243064,-0.040743,0.00,1,434.70
329406,0.00,-2.7,-41.5,304.5,0.8276,0.3018,0.1875,0.4343,0.00,-0.12,-0.09,43.243064,-0.040743,0.00,1,434.70
329419,0.00,-2.7,-41.5,304.5,0.8276,0.3016,0.1876,0.4345,0.01,-0.07,-0.11,43.243064,-0.040743,0.00,1,434.70
329419,0.00,-2.7,-41.5,304.5,0.8276,0.3016,0.1876,0.4345,0.01,-0.07,-0.11,43.243064,-0.040743,0.00,1,434.70
329419,0.00,-2.7,-41.5,304.5,0.8276,0.3016,0.1876,0.4345,0.01,-0.07,-0.11,43.243064,-0.040743,0.00,1,434.70
329419,0.00,-2.7,-41.5,304.5,0.8276,0.3016,0.1876,0.4345,0.01,-0.07,-0.11,43.243064,-0.040743,0.00,1,434.70
329419,0.00,-2.7,-41.5,304.5,0.8276,0.3016,0.1876,0.4345,0.01,-0.07,-0.11,43.243064,-0.040743,0.00,1,434.70
329431,0.00,-2.7,-41.5,304.5,0.8276,0.3015,0.1878,0.4344,0.02,-0.05,-0.03,43.243064,-0.040743,0.50,1,434.70
329431,0.00,-2.7,-41.5,304.5,0.8276,0.3015,0.1878,0.4344,0.02,-0.05,-0.03,43.243064,-0.040743,0.50,1,434.70
329431,0.00,-2.7,-41.5,304.5,0.8276,0.3015,0.1878,0.4344,0.02,-0.05,-0.03,43.243064,-0.040743,0.50,1,434.70
329431,0.00,-2.7,-41.5,304.5,0.8276,0.3015,0.1878,0.4344,0.02,-0.05,-0.03,43.243064,-0.040743,0.50,1,434.70
329431,0.00,-2.7,-41.5,304.5,0.8276,0.3015,0.1878,0.4344,0.02,-0.05,-0.03,43.243064,-0.040743,0.50,1,434.70
329444,0.00,-2.8,-41.5,304.5,0.8276,0.3015,0.1879,0.4343,0.00,-0.10,-0.05,43.243064,-0.040743,0.50,1,434.70
329444,0.00,-2.8,-41.5,304.5,0.8276,0.3015,0.1879,0.4343,0.00,-0.10,-0.05,43.243064,-0.040743,0.50,1,434.70
329444,0.00,-2.8,-41.5,304.5,0.8276,0.3015,0.1879,0.4343,0.00,-0.10,-0.05,43.243064,-0.040743,0.50,1,434.70
329444,0.00,-2.8,-41.5,304.5,0.8276,0.3015,0.1879,0.4343,0.00,-0.10,-0.05,43.243064,-0.040743,0.50,1,434.70
329444,0.00,-2.8,-41.5,304.5,0.8276,0.3015,0.1879,0.4343,0.00,-0.10,-0.05,43.243064,-0.040743,0.50,1,434.70
329457,0.00,-2.8,-41.5,304.5,0.8276,0.3014,0.1880,0.4344,-0.05,0.00,-0.05,43.243064,-0.040743,0.50,1,434.70
329457,0.00,-2.8,-41.5,304.5,0.8276,0.3014,0.1880,0.4344,-0.05,0.00,-0.05,43.243064,-0.040743,0.50,1,434.70
329457,0.00,-2.8,-41.5,304.5,0.8276,0.3014,0.1880,0.4344,-0.05,0.00,-0.05,43.243064,-0.040743,0.50,1,434.70
329457,0.00,-2.8,-41.5,304.5,0.8276,0.3014,0.1880,0.4344,-0.05,0.00,-0.05,43.243064,-0.040743,0.50,1,434.70
329457,0.00,-2.8,-41.5,304.5,0.8276,0.3014,0.1880,0.4344,-0.05,0.00,-0.05,43.243064,-0.040743,0.50,1,434.70
329470,0.00,-2.7,-41.5,304.5,0.8275,0.3014,0.1879,0.4346,0.02,-0.12,-0.09,43.243064,-0.040743,0.50,1,434.70
329470,0.00,-2.7,-41.5,304.5,0.8275,0.3014,0.1879,0.4346,0.02,-0.12,-0.09,43.243064,-0.040743,0.50,1,434.70
329470,0.00,-2.7,-41.5,304.5,0.8275,0.3014,0.1879,0.4346,0.02,-0.12,-0.09,43.243064,-0.040743,0.50,1,434.70
329470,0.00,-2.7,-41.5,304.5,0.8275,0.3014,0.1879,0.4346,0.02,-0.12,-0.09,43.243064,-0.040743,0.50,1,434.70
329470,0.00,-2.7,-41.5,304.5,0.8275,0.3014,0.1879,0.4346,0.02,-0.12,-0.09,43.243064,-0.040743,0.50,1,434.70
