tx_timestamp_ms,distance,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,latitude,longitude,altitude,flags_raw
37320,1.88,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.000000,0.000000,0.00,3
37320,1.88,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.000000,0.000000,0.00,3
37320,1.88,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.000000,0.000000,0.00,3
37320,1.88,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.000000,0.000000,0.00,3
37320,1.88,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.000000,0.000000,0.00,3
37332,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.07,0.000000,0.000000,0.00,3
37332,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.07,0.000000,0.000000,0.00,3
37332,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.07,0.000000,0.000000,0.00,3
37332,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.07,0.000000,0.000000,0.00,3
37332,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.07,0.000000,0.000000,0.00,3
37345,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.05,0.000000,0.000000,0.00,3
37345,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.05,0.000000,0.000000,0.00,3
37345,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.05,0.000000,0.000000,0.00,3
37345,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.05,0.000000,0.000000,0.00,3
37345,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.05,0.000000,0.000000,0.00,3
37358,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.02,0.000000,0.000000,0.00,3
37358,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.02,0.000000,0.000000,0.00,3
37358,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.02,0.000000,0.000000,0.00,3
37358,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.02,0.000000,0.000000,0.00,3
37358,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.02,0.000000,0.000000,0.00,3
37371,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37371,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37371,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37371,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37371,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37379,1.88,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37379,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37379,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37388,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37388,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37397,2.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37405,3.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37405,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.02,0.000000,0.000000,1.20,3
37414,5.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.03,0.000000,0.000000,1.20,3
37414,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.03,0.000000,0.000000,1.20,3
37423,7.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.01,0.000000,0.000000,1.20,3
37423,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.02,0.01,0.000000,0.000000,1.20,3
37431,9.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.01,0.00,0.02,0.000000,0.000000,1.20,3
37431,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.01,0.00,0.02,0.000000,0.000000,1.20,3
37440,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.00,0.000000,0.000000,1.20,3
37440,0.00,-6.0,91.3,0.0,0.6984,0.7115,0.0760,0.0000,0.00,0.00,0.00,0.000000,0.000000,1.20,3
